0902b-26-2031  263.706875         -32.62466666666668  19.214 0.04 19.528 0.02 16.569 0.01 16.48  0.01 16.428 0.01 2.46  0.274 -1.506 0.216  -56.55  6.9   1.81 0.44 0.71 0.11 -8.35 0.56 -8.27 0.9
0902b-22-4556  263.7130833333334  -32.76622222222223   ---   ---  21.939 0.1  18.893 0.04 18.684 0.05 18.029 0.02 2.397 0.974 -2.193 0.792  -36.8   2.39  2.77 0.39 0.37 0.05 -9.28 0.55 ---   0.9
0902b-26-1825  263.716125         -32.63591666666667  20.496 0.1  21.051 0.06 18.01  0.03 17.467 0.02 17.498 0.01 2.636 0.584 -1.537 0.479 -117.55  9.88  3.82 0.44 0.51 0.07 -8.51 0.55 -8.66 0.9
0902b-26-3344  263.718            -32.55586111111111  18.849 0.04 19.321 0.02 17.435 0.02 17.278 0.02 17.156 0.01 2.985 0.394 -2.058 0.312  -57.23  5.97  6.0  0.45 0.68 0.11 -8.77 0.56 -8.24 0.9
0902b-26-3305  263.72166666666664 -32.55752777777778   ---   ---  20.608 0.05 17.449 0.02 17.26  0.02 17.069 0.01 2.334 0.466 -2.16  0.37   -56.42  5.33  3.24 0.34 0.57 0.07 -8.64 0.55 ---   0.9
0902b-26-2885  263.72379166666667 -32.58144444444444  20.117 0.1  21.357 0.09 18.881 0.03 18.407 0.04 17.988 0.02 1.946 0.971 -0.846 0.789  -79.24  5.05  2.47 0.33 0.36 0.05 -8.88 0.55 -8.32 0.9
0902a-29-1920  263.7259166666666  -32.55205555555555  20.761 0.15 20.125 0.03 17.121 0.01 16.847 0.02 16.793 0.01 2.74  0.299 -1.031 0.239  -73.58  7.31  3.18 0.75 0.63 0.08 -8.39 0.56 -8.97 0.9
0902b-26-1697  263.72666666666663 -32.64180555555556  20.96  0.15 21.468 0.07 18.244 0.03 17.769 0.03 17.634 0.02 2.573 0.599 -1.56  0.491  -96.41  7.48  3.42 0.33 0.47 0.06 -8.66 0.55 -8.81 0.9
0902a-25-3455  263.73654166666665 -32.745361111111094 21.25  0.2  21.368 0.07 18.417 0.03 18.165 0.04 17.695 0.02 2.674 0.72  -1.611 0.592  -49.86  3.56  2.63 0.26 0.42 0.06 -8.97 0.55 -8.89 0.9
0902b-26-1472  263.77624999999995 -32.65111111111111   ---   ---  21.451 0.08 18.618 0.03 17.938 0.02 17.641 0.01 1.678 0.695 -1.454 0.575 -120.15  7.26  1.4  0.13 0.33 0.06 -8.45 0.55 ---   0.9
0902b-27-2455  263.8354583333333  -32.63624999999999  20.529 0.1  20.605 0.04 17.882 0.02 17.461 0.02 17.086 0.01 2.695 0.372 -1.575 0.277  -74.74  5.07  1.03 0.09 0.36 0.05 -8.34 0.55 -8.42 0.9
0902a-29-2615  263.8389166666666  -32.512194444444454 20.917 0.14 20.891 0.05 17.86  0.02 17.4   0.02 17.534 0.01 0.652 0.563 -1.734 0.402 -111.05 11.06 10.08 1.6  0.68 0.12 -8.7  0.56 -9.09 0.9
